id,title,description
1,ジョナサン立ち,コミックス4巻の表紙にて、第1部「ファントムブラッド」の主人公であるジョナサン・ジョースターが行ったジョジョ立ち。第2部「戦闘潮流」の第29話「波紋教師 リサリサ その③」にて主人公のジョセフ・ジョースターも類似したジョジョ立ちを行っていた。
2,ジョルノ立ち,第5部「黄金の風」の第5話「ブチャラティが来る② 」にて、主人公のジョルノ・ジョバーナが行ったジョジョ立ち。ジョルノの回想シーン中で「ギャング・スター」にあこがれるようになったのだ！というナレーションと共に描かれた。
3,承太郎立ち,コミックス13巻の表紙にて、第3部「スターダストクルセイダース」の主人公である空条承太郎が行ったジョジョ立ち。荒木先生が描き下ろした、演歌歌手・石川さゆりのアルバムジャケットにおいても類似したジョジョ立ちが描かれた。
